,Age,Name,Yomi,StateData,RecommendData,Kubun,VotesCount,BtnParty,CountData,PositionData,CareerData,Bg1,Bg2,Bg3,Bg4,Bg5,Bg6,Bg7,Bg8,Bg9,Bg10,Bg11,Bg12,Bg13,Bg14,Bg15
0,73,横路　孝弘,よこみち　たかひろ,前,,北海道１区,116398,民主党,12,［元］議長,［元］議長▽弁護士▽党道代表［歴］知事▽党副代表▽内閣委員長▽東大,2. 反対,2. 反対,非該当,2. 導入すべきでない,2. 評価しない,非該当,2. 必要でない,2. 参拝すべきでない,2. 見直すべきでない,2. 見直すべきでない,1. 賛成,非該当,2. 必要でない,2. 反対,2. 反対
1,54,船橋　利実,ふなはし　としみつ,前,［公］,北海道１区,105918,自民党,1,［元］道議,［元］道議▽党整備新幹線等鉄道調査会幹事［歴］北斗建設社長▽北海学園大,1. 賛成,1. 賛成,1. 評価する,1. 導入すべきだ,1. 評価する,1. 国民の負担を増やしても給付を維持すべきだ,1. 必要だ,1. 問題ない,非該当,1. 見直すべきだ,2. 反対,2. 引き受けたくない,1. 必要だ,2. 反対,1. 賛成
2,56,野呂田博之,のろた　ひろゆき,新,,北海道１区,32031,共産党,0,党地区副委長,党１区政策委員長・道委員［歴］道勤医協札幌西区病院総務課長▽立命館大,2. 反対,2. 反対,2. 評価しない,非該当,2. 評価しない,非該当,2. 必要でない,2. 参拝すべきでない,2. 見直すべきでない,2. 見直すべきでない,2. 反対,2. 引き受けたくない,2. 必要でない,2. 反対,2. 反対
3,41,飯田　佳宏,いいだ　よしひろ,新,,北海道１区,13444,無所属,0,［元］衆議員秘書,［元］衆院議員秘書▽不動産賃貸業［歴］運送会社経営▽北海学園大,無回答,1. 賛成,1. 評価する,2. 導入すべきでない,2. 評価しない,2. 負担増は耐えられないので給付水準が下がるのはやむをえない,2. 必要でない,1. 問題ない,2. 見直すべきでない,1. 見直すべきだ,1. 賛成,1. 引き受けてもいい,1. 必要だ,2. 反対,無回答
4,64,吉川　貴盛,よしかわ　たかもり,前,［公］,北海道２区,88667,自民党,5,［元］副農相,［元］副農相▽党経理局長［歴］道議▽党副幹事長▽副経産相▽北大院,1. 賛成,1. 賛成,1. 評価する,1. 導入すべきだ,1. 評価する,非該当,1. 必要だ,非該当,2. 見直すべきでない,2. 見直すべきでない,2. 反対,非該当,1. 必要だ,1. 賛成,1. 賛成
5,55,松木　謙公,まつき　けんこう,元,［生］,北海道２区,56375,維新の党,4,［元］農水政務官,［元］農水政務官［歴］衆院議員秘書▽建設業界紙副社長▽大地代表代行▽青学大,2. 反対,2. 反対,2. 評価しない,非該当,2. 評価しない,非該当,2. 必要でない,非該当,2. 見直すべきでない,非該当,非該当,1. 引き受けてもいい,非該当,2. 反対,1. 賛成
6,42,池田　真紀,いけだ　まき,新,,北海道２区,46922,無所属,0,社会福祉士,社会福祉士▽北大院生［歴］東京都板橋区職員▽日本福祉学院,2. 反対,2. 反対,2. 評価しない,1. 導入すべきだ,2. 評価しない,1. 国民の負担を増やしても給付を維持すべきだ,2. 必要でない,2. 参拝すべきでない,2. 見直すべきでない,2. 見直すべきでない,2. 反対,2. 引き受けたくない,2. 必要でない,2. 反対,2. 反対
7,40,金倉　昌俊,かなくら　まさとし,新,,北海道２区,36277,共産党,0,党地区委員長,党准中央委員・札幌東区地区委員長［歴］道森林組合連合会職員▽帯広農高,2. 反対,2. 反対,2. 評価しない,無回答,2. 評価しない,無回答,2. 必要でない,2. 参拝すべきでない,2. 見直すべきでない,2. 見直すべきでない,無回答,2. 引き受けたくない,2. 必要でない,無回答,2. 反対
8,54,高木　宏寿,たかぎ　ひろひさ,前,［公］,北海道３区,92649,自民党,2,［元］道議,［元］道議▽学校法人幌南学園理事長［歴］北海道拓殖銀行員▽道警警部▽慶大,1. 賛成,1. 賛成,1. 評価する,1. 導入すべきだ,1. 評価する,非該当,非該当,1. 問題ない,2. 見直すべきでない,1. 見直すべきだ,2. 反対,非該当,1. 必要だ,1. 賛成,1. 賛成
9,68,荒井　　聡,あらい　さとし,前,,北海道３区,85591,民主党,7,［元］国家戦略相,［元］国家戦略担当相▽党代議士会長［歴］農水省職員▽首相補佐官▽東大,2. 反対,2. 反対,1. 評価する,1. 導入すべきだ,2. 評価しない,1. 国民の負担を増やしても給付を維持すべきだ,2. 必要でない,2. 参拝すべきでない,2. 見直すべきでない,2. 見直すべきでない,1. 賛成,2. 引き受けたくない,2. 必要でない,2. 反対,2. 反対
10,63,吉岡　弘子,よしおか　ひろこ,新,,北海道３区,30271,共産党,0,党地区委員,党３区国政相談室長［歴］民青同盟札幌中央北地区常任委員▽札幌東高,2. 反対,2. 反対,2. 評価しない,無回答,2. 評価しない,無回答,2. 必要でない,2. 参拝すべきでない,2. 見直すべきでない,2. 見直すべきでない,1. 賛成,無回答,2. 必要でない,2. 反対,2. 反対
11,44,小和田康文,こわだ　やすふみ,新,,北海道３区,26211,維新の党,0,行政書士,党３区支部長▽行政書士［歴］橋りょう製造会社員▽千葉大院,1. 賛成,1. 賛成,2. 評価しない,1. 導入すべきだ,2. 評価しない,2. 負担増は耐えられないので給付水準が下がるのはやむをえない,2. 必要でない,1. 問題ない,1. 見直すべきだ,1. 見直すべきだ,1. 賛成,1. 引き受けてもいい,1. 必要だ,1. 賛成,1. 賛成
12,53,中村　裕之,なかむら　ひろゆき,前,［公］,北海道４区,77690,自民党,2,［元］道議,［元］道議▽石油販売会社会長▽党農林副部会長［歴］建設会社社長▽北海学園大,1. 賛成,1. 賛成,1. 評価する,1. 導入すべきだ,1. 評価する,非該当,1. 必要だ,1. 問題ない,1. 見直すべきだ,1. 見直すべきだ,1. 賛成,非該当,1. 必要だ,1. 賛成,1. 賛成
13,66,鉢呂　吉雄,はちろ　よしお,元,,北海道４区,70049,民主党,7,［元］経産相,［元］経産相［歴］今金町農協参事▽大蔵政務次官▽党副代表▽法務委員長▽北大,2. 反対,2. 反対,非該当,2. 導入すべきでない,2. 評価しない,非該当,2. 必要でない,2. 参拝すべきでない,2. 見直すべきでない,2. 見直すべきでない,1. 賛成,非該当,2. 必要でない,2. 反対,非該当
14,40,酒井　隆裕,さかい　たかひろ,新,,北海道４区,23532,共産党,0,［元］滝川市議,［元］滝川市議▽党４区政策委員長・小樽地区委員［歴］日清紡績社員▽名城大,2. 反対,2. 反対,2. 評価しない,無回答,2. 評価しない,無回答,2. 必要でない,2. 参拝すべきでない,2. 見直すべきでない,2. 見直すべきでない,無回答,2. 引き受けたくない,2. 必要でない,無回答,2. 反対
15,70,町村　信孝,まちむら　のぶたか,前,［公］,北海道５区,131394,自民党,12,［元］官房長官,［元］官房長官▽党税制調査会顧問［歴］通産省企画官▽文科相▽外相▽東大,1. 賛成,1. 賛成,1. 評価する,1. 導入すべきだ,1. 評価する,2. 負担増は耐えられないので給付水準が下がるのはやむをえない,1. 必要だ,1. 問題ない,2. 見直すべきでない,1. 見直すべきだ,1. 賛成,1. 引き受けてもいい,1. 必要だ,1. 賛成,2. 反対
